year,section,rank,title,url
2015,Missed from the original list,,Exploiting and Protecting Dynamic Code Generation,https://www.ndss-symposium.org/ndss2015/ndss-2015-programme/exploiting-and-protecting-dynamic-code-generation/
2015,Missed from the original list,,How to Break XML Encryption – Automatically,https://www.usenix.org/conference/woot15/workshop-program/presentation/kupser
2015,Missed from the original list,,Cross-Site Framing Attacks,https://dl.acm.org/doi/10.1145/2818000.2818029
2015,Missed from the original list,,WebRTC IP Address Leaks,https://diafygi.github.io/webrtc-ips/
2015,Missed from the original list,,Man-in-the-Browser-Cache: Persisting HTTPS Attacks via Browser Cache Poisoning,https://doi.org/10.1016/j.cose.2015.07.004
2015,Missed from the original list,,Too LeJIT to Quit: Extending JIT Spraying to ARM,https://www.ndss-symposium.org/wp-content/uploads/2017/09/09_3_2.pdf
2015,Missed from the original list,,"Cache Timing Attacks Revisited: Efficient and Repeatable Browser History, OS and Network Sniffing",https://doi.org/10.1007/978-3-319-18467-8_7
2015,Missed from the original list,,Automatically Detecting SSL Error-Handling Vulnerabilities in Hybrid Mobile Web Apps,https://lilicoding.github.io/SA3Repo/papers/2015_zuo2015automatically.pdf
2015,Missed from the original list,,Cashing Out the Great Cannon? On Browser-Based DDoS Attacks and Economics,https://www.usenix.org/conference/woot15/workshop-program/presentation/pellegrino
2015,Missed from the original list,,HTTPS Bicycle Attack,https://guidovranken.files.wordpress.com/2015/12/https-bicycle-attack.pdf
2015,Other nominations,,"Java Deserialization w/ Apache Commons Collections in WebLogic, WebSphere, JBoss, Jenkins, and OpenNMS",http://foxglovesecurity.com/2015/11/06/what-do-weblogic-websphere-jboss-jenkins-opennms-and-your-application-have-in-common-this-vulnerability/#thevulnerability
2015,Other nominations,,Breaking HTTPS with BGP Hijacking,https://www.youtube.com/watch?v=yEjPIagrB0M
2015,Other nominations,,Pawn Storm (CVE-2015-7645),http://blog.trendmicro.com/trendlabs-security-intelligence/new-adobe-flash-zero-day-used-in-pawn-storm-campaign/
2015,Other nominations,,Superfish SSL MitM,http://arstechnica.com/security/2015/02/lenovo-pcs-ship-with-man-in-the-middle-adware-that-breaks-https-connections/
